"1"	"2"	"3"	"4"	"5"	"6"
"100101490"	12.1042752098896	9.76650885604862	9.63424305569615	14.6252474851976	10.0715097844053	10.0090223132136
"100101629"	0	0	0	0	0	0
"100101938"	0	0	0	0	0	0
"10011"	11.8091951484318	18.1920393903086	10.7752498054224	12.3525735712394	11.8120616924105	11.8555244553778
"100113378"	3.65562420437567	4.79546742805815	1.90449643738312	3.26177394501603	3.92243967816156	4.01804501516026
"100113379"	4.62777921257227	0	0	1.14699743121443	1.3793194472656	4.23881671928995
"100113381"	6.79238561845286	16.2648111845659	7.86372722532384	6.73398491874277	12.146909971081	12.442978111464
"100113382"	3.81456438717461	2.14455686223718	0	1.13453006783166	4.0929805337338	2.79516174967671
"100113384"	0	1.49469114640773	2.07763247714522	0	2.85268340229932	0
"100113386"	0.0982749716102112	0.33150248892605	0.0511990081178323	0.116916008110348	0.210895664577715	0.0720120081126455
"100113389"	1.41793908533359	0.664307176181215	0	0	1.26785928991081	1.29876202510231
"100113391"	0.708969542666796	1.32861435236243	1.84678442412908	4.21724308042477	2.53571857982161	6.49381012551154
"100113392"	4.3867490452508	2.93600046615805	6.52970207102783	2.79580623858517	1.1206970509033	6.88807716884617
"100113393"	49.744882377213	47.2496541039183	37.276357454023	44.5881331512871	70.6800780841539	71.1545058995371
"100113402"	1.38986108364382	4.5580680504315	3.62042887106494	1.03343332911399	1.24275316535812	3.81913189559787
"100113403"	0	0	0	0	0	0
"100113404"	0	0	0	0	0	0
"100113407"	3.1285503710335	2.96273262302334	4.34640813000783	3.39940971709266	2.52140185183617	3.83607958656451
"100124412"	0	0	0	0	0	0
"100124516"	10.1382644601352	9.49959261939137	26.4090172650459	15.0766440125185	18.1303878457245	14.2863822761254
"100124533"	6.12752247590588	5.74151202270907	5.8041796186914	8.28387033654865	3.98470062543397	7.14319113806269
"100124534"	56.2536054038044	31.4324755788685	38.9861623652544	52.1883831202565	46.1463491548419	41.5985836863651
"100124535"	0	1.03569150302268	0	0.821864301106402	0	0
"100124536"	24.4594492220045	25.9079798710674	30.4719429981299	34.7922554135043	41.8393565670566	50.65171897899
"100124537"	0.523790930776215	1.9631764311027	2.72883071625044	0.778931091347112	2.81010603808589	2.87859941384616
"100124538"	1.54826436891205	0.967153094734416	0	0	1.84585396619368	0
"100124539"	0.552661297039471	0	0	0	0	1.01242079122148
"100124540"	0	0	0	0	0	0
"100124541"	4.14495972779603	2.5892287575567	0	3.28745720442561	3.95332502995811	6.58073514293965
"100124700"	2.66708898912495	5.2786533390778	2.19766630385892	1.4165129191229	1.55741691757946	4.23772099311203
"100125288"	0.567175634133437	0.166076794045304	0.646374548445179	0.790733077579644	0.443750751468783	1.16888582259208
"100125556"	3.19817862779676	4.67228295643378	3.85191636135106	4.70488118281587	1.90644789844991	2.39389649114889
"100126270"	0.0695389544821792	0.108597111033587	0	0.0344705304625208	0	0.08492565421739
"100126296"	3.19036294200058	2.98938229281547	4.15526495429044	7.1165976982168	1.42634170114966	5.84442911296039
"100126297"	0	0	0	0	0	0
"100126299"	0	0	0	0	0	0
"100126302"	0	0	0	0	0	0
"100126303"	0	0	0	0	0	0
"100126304"	0	0	0	0	0	0
"100126306"	0	0	0	0	0	0
"100126307"	0	0	0	0	0	0
"100126308"	0	0	0	0	0	0
"100126309"	0	0	0	0	0	0
"100126310"	0	0	0	0	0	0
"100126311"	0	0	0	0	0	0
"100126313"	2.1486117772657	2.01325746250838	1.86562916315081	7.45548330289379	1.28079662960377	5.24805879531137
"100126314"	0	0	0	0	0	0
"100126315"	0	0	0	0	0	0
"100126316"	0	0	0	0	0	0
"100126317"	49.7164891795091	53.8919196677011	50.7865716635498	33.3425781046083	20.9196782835283	33.9301579057978
"100126318"	0	0	2.34399561524076	0	0	0
"100126319"	0	0	0	0	0	0
"100126320"	0	0	0	0	0	0
"100126321"	0	0	0	0	0	0
"100126324"	0	0	0	0	0	0
"100126325"	0	0	0	0	0	0
"100126326"	0	0	0	0	0	0
"100126327"	0	1.5847327817335	0	1.25755140048811	9.07359540008457	3.0982515779549
"100126328"	2.98672275421331	2.79857065710384	3.890035276357	0	0	1.36784511154392
"100126329"	0.612995499773038	0.287189565248648	0.798391519601656	0.455793739041541	0	0
"100126331"	4.89683614353578	3.05890281125304	8.50379804598973	1.21368332837806	4.37853731515709	5.98034606907574
"100126332"	0	0	0	0	0	0
"100126333"	1.59518147100029	0	0	0	0	1.4611072782401
"100126334"	0	0	0	0	0	0
"100126335"	0	0	0	0	0	0
"100126336"	0	0	0	0	0	0
"100126338"	0	0	0	0	0	0
"100126340"	1.59518147100029	0	0	0	0	0
"100126341"	0	0	0	0	0	0
"100126342"	0	0	0	0	0	0
"100126343"	0	0	0	0	0	0
"100126345"	0	0	0	0	0	0
"100126346"	0	0	0	0	0	0
"100126348"	1.75469961810032	0.822080130524254	0	1.30470957800641	1.56897587126462	0
"100126349"	2.50671374014332	0	0	0	4.48278820361321	4.59205144589745
"100126350"	0.911532269143024	3.41643690607482	0	2.71108483741592	3.26020960262779	3.33967377883451
"100126351"	0	0	0	0	0	0
"100126352"	0	0	0	0	0	0
