rxns_subSystems1	rxns_subSystems2
RE0912C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism
RE0915C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism
RE0915E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Ubiquinone synthesis * Transport, mitochondrial * Transport, mitochondrial
RE0916C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism
RE0918C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Ubiquinone synthesis * Sphingolipid metabolism * Tyrosine metabolism
RE0926E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Tyrosine metabolism * Ubiquinone synthesis * Transport, mitochondrial
RE0935E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Transport, nuclear * Transport, mitochondrial * Transport, mitochondrial
RE0936E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Transport, nuclear * Ubiquinone synthesis * Transport, mitochondrial
RE0937E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Transport, nuclear * Ubiquinone synthesis * Transport, mitochondrial
RE0938E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Transport, nuclear * Sphingolipid metabolism * Transport, mitochondrial
RE0944E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Valine, leucine, and isoleucine metabolism * Valine, leucine, and isoleucine metabolism * Transport, mitochondrial
RE0958C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Transport, mitochondrial * Sphingolipid metabolism * Tyrosine metabolism
RE0958E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Transport, mitochondrial * Sphingolipid metabolism * Transport, mitochondrial
RE1050E	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial
RE1077C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tyrosine metabolism * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism
RE1096C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tyrosine metabolism * Tryptophan metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1099C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tyrosine metabolism * Tryptophan metabolism * Tryptophan metabolism * Tyrosine metabolism
RE1100C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism
RE1100R	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism * Transport, extracellular
RE1134C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism
RE1135C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Transport, nuclear * Transport, mitochondrial * Tyrosine metabolism
RE1135R	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Transport, nuclear * Transport, mitochondrial * Transport, extracellular
RE1233C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tyrosine metabolism * Transport, nuclear * Transport, nuclear * Tyrosine metabolism
RE1234C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tyrosine metabolism * Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism
RE1235C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tyrosine metabolism * Transport, nuclear * Transport, mitochondrial * Tyrosine metabolism
RE1254C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tyrosine metabolism * Transport, mitochondrial * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism
RE1266C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tyrosine metabolism * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism
RE1303C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, nuclear * Tyrosine metabolism * Transport, nuclear * Tyrosine metabolism
RE1342C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Tyrosine metabolism
RE1441R	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Valine, leucine, and isoleucine metabolism * Valine, leucine, and isoleucine metabolism * Ubiquinone synthesis * Transport, extracellular
RE1447M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Valine, leucine, and isoleucine metabolism * Valine, leucine, and isoleucine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1447N	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Valine, leucine, and isoleucine metabolism * Valine, leucine, and isoleucine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1448N	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Valine, leucine, and isoleucine metabolism * Valine, leucine, and isoleucine metabolism * Sphingolipid metabolism * Tyrosine metabolism
RE1448R	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Valine, leucine, and isoleucine metabolism * Valine, leucine, and isoleucine metabolism * Sphingolipid metabolism * Transport, extracellular
RE1516M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism
RE1516X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Transport, extracellular
RE1517M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism
RE1517X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Transport, extracellular
RE1518M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Tyrosine metabolism
RE1518X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Transport, extracellular
RE1519X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Ubiquinone synthesis * Tryptophan metabolism * Transport, extracellular
RE1520M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism
RE1520X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Transport, extracellular
RE1521M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1521X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, extracellular
RE1522M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism
RE1522X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Transport, extracellular
RE1523M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Transport, nuclear * Tyrosine metabolism
RE1523X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Transport, nuclear * Transport, extracellular
RE1525M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism
RE1525X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular
RE1526M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1526X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, extracellular
RE1527M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1527X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, extracellular
RE1530C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Transport, nuclear * Tyrosine metabolism * Tyrosine metabolism
RE1530M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Transport, nuclear * Tyrosine metabolism * Tyrosine metabolism
RE1531M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Transport, nuclear * Ubiquinone synthesis * Tyrosine metabolism
RE1531X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Transport, nuclear * Ubiquinone synthesis * Transport, extracellular
RE1532M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Transport, nuclear * Tyrosine metabolism * Tyrosine metabolism
RE1532X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Transport, nuclear * Tyrosine metabolism * Transport, extracellular
RE1533M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Transport, nuclear * Transport, nuclear * Tyrosine metabolism
RE1533X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Transport, nuclear * Transport, nuclear * Transport, extracellular
RE1534M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism
RE1534X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Transport, nuclear * Valine, leucine, and isoleucine metabolism * Transport, extracellular
RE1573M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Ubiquinone synthesis * Transport, nuclear * Tyrosine metabolism
RE1573X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Ubiquinone synthesis * Transport, nuclear * Transport, extracellular
RE1587C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Sphingolipid metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1630C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Transport, nuclear * Tyrosine metabolism * Tyrosine metabolism
RE1632C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Transport, nuclear * Tyrosine metabolism * Tyrosine metabolism
RE1691M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Tryptophan metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1709C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism * Tryptophan metabolism * Tyrosine metabolism
RE1709N	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism * Tryptophan metabolism * Tyrosine metabolism
RE1711C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism
RE1796M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Tryptophan metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1796R	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Ubiquinone synthesis * Tryptophan metabolism * Ubiquinone synthesis * Transport, extracellular
RE1803C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Tyrosine metabolism * Transport, nuclear * Tyrosine metabolism
RE1804C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism
RE1804M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism
RE1807C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1807M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1810M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism
RE1826C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1834C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism
RE1834M	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism
RE1834X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Transport, nuclear * Valine, leucine, and isoleucine metabolism * Transport, extracellular
RE1835C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Transport, nuclear * Transport, mitochondrial * Tyrosine metabolism
RE1836C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Transport, nuclear * Ubiquinone synthesis * Tyrosine metabolism
RE1836X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Transport, nuclear * Ubiquinone synthesis * Transport, extracellular
RE1845C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Valine, leucine, and isoleucine metabolism * Transport, mitochondrial * Tyrosine metabolism
RE1845X	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Valine, leucine, and isoleucine metabolism * Transport, mitochondrial * Transport, extracellular
RE1846C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Valine, leucine, and isoleucine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1860E	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Ubiquinone synthesis * Tyrosine metabolism * Transport, mitochondrial
RE1897C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Tryptophan metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1898C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Sphingolipid metabolism * Tryptophan metabolism * Sphingolipid metabolism * Tyrosine metabolism
RE1901R	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tryptophan metabolism * Tyrosine metabolism * Ubiquinone synthesis * Transport, extracellular
RE1903R	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tryptophan metabolism * Tyrosine metabolism * Transport, nuclear * Transport, extracellular
RE1915C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tryptophan metabolism * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism
RE1916C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tryptophan metabolism * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism
RE1918C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tryptophan metabolism * Ubiquinone synthesis * Sphingolipid metabolism * Tyrosine metabolism
RE1919C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tryptophan metabolism * Ubiquinone synthesis * Tryptophan metabolism * Tyrosine metabolism
RE1921C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tryptophan metabolism * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE1923C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tryptophan metabolism * Tyrosine metabolism * Transport, nuclear * Tyrosine metabolism
RE1925C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tryptophan metabolism * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism
RE1933C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tryptophan metabolism * Transport, nuclear * Transport, nuclear * Tyrosine metabolism
RE1957R	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tryptophan metabolism * Transport, mitochondrial * Ubiquinone synthesis * Transport, extracellular
RE1978C	Transport, extracellular * Transport, mitochondrial * Ubiquinone synthesis * Tryptophan metabolism * Ubiquinone synthesis * Sphingolipid metabolism * Tyrosine metabolism
RE2030M	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Transport, nuclear * Tyrosine metabolism * Tyrosine metabolism
RE2034C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism
RE2069C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Tryptophan metabolism * Tyrosine metabolism
RE2078M	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Sphingolipid metabolism * Tyrosine metabolism
RE2079R	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Tryptophan metabolism * Transport, extracellular
RE2080C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Sphingolipid metabolism * Tyrosine metabolism * Tyrosine metabolism
RE2111M	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism
RE2112C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism
RE2112R	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism * Transport, extracellular
RE2122C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism
RE2127C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE2130C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, nuclear * Tyrosine metabolism * Tyrosine metabolism
RE2147C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Valine, leucine, and isoleucine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE2154C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, mitochondrial * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism
RE2155C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, mitochondrial * Transport, mitochondrial * Tyrosine metabolism
RE2223M	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, nuclear * Tyrosine metabolism
RE2235C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Transport, nuclear * Transport, mitochondrial * Tyrosine metabolism
RE2235R	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Transport, nuclear * Transport, mitochondrial * Transport, extracellular
RE2240C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Tyrosine metabolism
RE2269E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Tryptophan metabolism * Transport, mitochondrial
RE2270E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Transport, mitochondrial
RE2273E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Transport, nuclear * Transport, mitochondrial
RE2296C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Tryptophan metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE2304E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, nuclear * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Transport, mitochondrial
RE2327C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, nuclear * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE2346C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, nuclear * Valine, leucine, and isoleucine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE2349C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tryptophan metabolism * Tyrosine metabolism
RE2386C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, nuclear * Sphingolipid metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE2404C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism
RE2405C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism
RE2407C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE2410C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism
RE2426C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE2427M	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE2428M	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Sphingolipid metabolism * Tyrosine metabolism
RE2429M	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Tryptophan metabolism * Tyrosine metabolism
RE2439C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Transport, nuclear * Tryptophan metabolism * Tyrosine metabolism
RE2445E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Valine, leucine, and isoleucine metabolism * Transport, mitochondrial * Transport, mitochondrial
RE2514E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Ubiquinone synthesis * Valine, leucine, and isoleucine metabolism * Transport, mitochondrial
RE2526C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE2541C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Valine, leucine, and isoleucine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE2541E	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Valine, leucine, and isoleucine metabolism * Ubiquinone synthesis * Transport, mitochondrial
RE2562C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism
RE2563C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Ubiquinone synthesis * Transport, nuclear * Tyrosine metabolism
RE2605C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism
RE2624M	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism
RE2624X	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Transport, extracellular
RE2625C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism
RE2625M	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism
RE2626C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE2626M	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism
RE2635C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, nuclear * Transport, mitochondrial * Tyrosine metabolism
RE2635R	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, nuclear * Transport, mitochondrial * Transport, extracellular
RE2636C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, nuclear * Ubiquinone synthesis * Tyrosine metabolism
RE2636R	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, nuclear * Ubiquinone synthesis * Transport, extracellular
RE2637C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, nuclear * Ubiquinone synthesis * Tyrosine metabolism
RE2637X	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, nuclear * Ubiquinone synthesis * Transport, extracellular
RE2638C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, nuclear * Sphingolipid metabolism * Tyrosine metabolism
RE2640C	Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Tyrosine metabolism
