,rxn ID,subSystem
38,2OXOADOXm,"['Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Transport, lysosomal']"
39,2OXOADPTm,"['Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Tyrosine metabolism', 'Transport, lysosomal']"
40,34DHOXPEGOX,"['Transport, nuclear', 'Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Ubiquinone synthesis', 'Transport, mitochondrial', 'Taurine and hypotaurine metabolism', 'Transport, mitochondrial', 'Transport, extracellular']"
41,34DHOXPEGt,"['Transport, nuclear', 'Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Ubiquinone synthesis', 'Transport, mitochondrial', 'Taurine and hypotaurine metabolism', 'Transport, mitochondrial']"
42,34DHPHAMT,"['Transport, nuclear', 'Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Ubiquinone synthesis', 'Methionine and cysteine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tyrosine metabolism']"
43,34DHPHEt,"['Transport, nuclear', 'Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Ubiquinone synthesis', 'Methionine and cysteine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial']"
44,34DHPLACOX,"['Transport, nuclear', 'Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Ubiquinone synthesis', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular']"
45,34DHPLACOX_NADP_,"['Transport, nuclear', 'Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Ubiquinone synthesis', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Transport, extracellular']"
46,34DHXMANDACOX,"['Transport, nuclear', 'Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular']"
47,34DHXMANDACOX_NADP_,"['Transport, nuclear', 'Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Transport, extracellular']"
48,34HPLFM,"['Transport, nuclear', 'Valine, leucine, and isoleucine metabolism', 'Methionine and cysteine metabolism', 'Ubiquinone synthesis', 'Tyrosine metabolism', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism']"
49,34HPPOR,"['Transport, nuclear', 'Valine, leucine, and isoleucine metabolism', 'Methionine and cysteine metabolism', 'Ubiquinone synthesis', 'Ubiquinone synthesis', 'Transport, mitochondrial', 'Transport, extracellular']"
50,35CGMPtn,"['Transport, nuclear', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Transport, mitochondrial', 'Transport, mitochondrial']"
51,3AIBTm,"['Transport, nuclear', 'Transport, mitochondrial', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, lysosomal']"
52,3AIBtmi,"['Transport, nuclear', 'Transport, mitochondrial', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, lysosomal', 'Tryptophan metabolism']"
53,3DPHBH1,"['Transport, nuclear', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Ubiquinone synthesis']"
54,3DPHBH2,"['Transport, nuclear', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Tyrosine metabolism']"
55,3DSPHR,"['Transport, nuclear', 'Tyrosine metabolism', 'Arginine and proline metabolism', 'Ubiquinone synthesis', 'Methionine and cysteine metabolism', 'Transport, extracellular']"
56,3HAO,"['Transport, nuclear', 'Methionine and cysteine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial']"
57,3HBCDm,"['Transport, nuclear', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, lysosomal']"
58,3HBCOAHLm,"['Transport, nuclear', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Transport, lysosomal']"
59,3HKYNAKGAT,"['Transport, nuclear', 'Methionine and cysteine metabolism', 'Methionine and cysteine metabolism', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Methionine and cysteine metabolism', 'Taurine and hypotaurine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism']"
60,3HLYTCL,"['Transport, nuclear', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Transport, extracellular', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism']"
61,3M4HDXPAC,"['Transport, nuclear', 'Tyrosine metabolism', 'Valine, leucine, and isoleucine metabolism', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Transport, extracellular', 'Ubiquinone synthesis', 'Transport, mitochondrial', 'Tyrosine metabolism']"
62,3MLDAt,"['Transport, nuclear', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial']"
63,3MOBt2im,"['Transport, nuclear', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tryptophan metabolism', 'Transport, lysosomal']"
64,3MOPt2im,"['Transport, nuclear', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Ubiquinone synthesis', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tryptophan metabolism', 'Transport, lysosomal']"
65,3MOX4HOXPGALDOX,"['Transport, nuclear', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Valine, leucine, and isoleucine metabolism', 'Methionine and cysteine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Ubiquinone synthesis', 'Taurine and hypotaurine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular']"
